Province,Value,code_1,code_2,code_3,code_all,,"{name: '北京',value:4487},{name: '天津',value:321},{name: '上海',value:3819},{name: '重庆',value:136},{name: '河北',value:437},{name: '河南',value:379},{name: '云南',value:26},{name: '辽宁',value:1285},{name: '黑龙江',value:219},{name: '湖南',value:277},{name: '安徽',value:256},{name: '山东',value:2601},{name: '新疆',value:81},{name: '江苏',value:1775},{name: '浙江',value:4191},{name: '江西',value:284},{name: '湖北',value:314},{name: '广西',value:136},{name: '甘肃',value:49},{name: '山西',value:247},{name: '内蒙古',value:53},{name: '陕西',value:51},{name: '吉林',value:180},{name: '福建',value:654},{name: '贵州',value:65},{name: '广东',value:4051},{name: '青海',value:20},{name: '西藏',value:0},{name: '四川',value:351},{name: '宁夏',value:56},{name: '海南',value:113},{name: '香港',value:115}"
北京,4487,{name: ',"',value:",},"{name: '北京',value:4487}",,
天津,321,{name: ',"',value:",},"{name: '天津',value:321}",,
上海,3819,{name: ',"',value:",},"{name: '上海',value:3819}",,
重庆,136,{name: ',"',value:",},"{name: '重庆',value:136}",,
河北,437,{name: ',"',value:",},"{name: '河北',value:437}",,
河南,379,{name: ',"',value:",},"{name: '河南',value:379}",,
云南,26,{name: ',"',value:",},"{name: '云南',value:26}",,
辽宁,1285,{name: ',"',value:",},"{name: '辽宁',value:1285}",,
黑龙江,219,{name: ',"',value:",},"{name: '黑龙江',value:219}",,
湖南,277,{name: ',"',value:",},"{name: '湖南',value:277}",,
安徽,256,{name: ',"',value:",},"{name: '安徽',value:256}",,
山东,2601,{name: ',"',value:",},"{name: '山东',value:2601}",,
新疆,81,{name: ',"',value:",},"{name: '新疆',value:81}",,
江苏,1775,{name: ',"',value:",},"{name: '江苏',value:1775}",,
浙江,4191,{name: ',"',value:",},"{name: '浙江',value:4191}",,
江西,284,{name: ',"',value:",},"{name: '江西',value:284}",,
湖北,314,{name: ',"',value:",},"{name: '湖北',value:314}",,
广西,136,{name: ',"',value:",},"{name: '广西',value:136}",,
甘肃,49,{name: ',"',value:",},"{name: '甘肃',value:49}",,
山西,247,{name: ',"',value:",},"{name: '山西',value:247}",,
内蒙古,53,{name: ',"',value:",},"{name: '内蒙古',value:53}",,
陕西,51,{name: ',"',value:",},"{name: '陕西',value:51}",,
吉林,180,{name: ',"',value:",},"{name: '吉林',value:180}",,
福建,654,{name: ',"',value:",},"{name: '福建',value:654}",,
贵州,65,{name: ',"',value:",},"{name: '贵州',value:65}",,
广东,4051,{name: ',"',value:",},"{name: '广东',value:4051}",,
青海,20,{name: ',"',value:",},"{name: '青海',value:20}",,
西藏,0,{name: ',"',value:",},"{name: '西藏',value:0}",,
四川,351,{name: ',"',value:",},"{name: '四川',value:351}",,
宁夏,56,{name: ',"',value:",},"{name: '宁夏',value:56}",,
海南,113,{name: ',"',value:",},"{name: '海南',value:113}",,
香港,115,{name: ',"',value:",},"{name: '香港',value:115}",,
